,0
492,2638.1287
493,2637.1306
494,2637.9106
495,2639.6335
496,2641.2468
497,2643.1765
498,2647.6177
499,2654.0696
500,2659.3884
501,2661.7844
502,2659.4548
503,2656.5857
504,2656.1858
505,2655.3672
506,2656.0107
507,2658.3643
508,2663.5632
509,2669.6907
510,2674.884
511,2678.291
512,2680.4927
513,2681.343
514,2679.8984
515,2677.5466
516,2673.3655
517,2665.9934
518,2656.1218
519,2648.6248
520,2638.8591
521,2629.3203
522,2621.5852
523,2612.5842
524,2603.453
525,2599.4404
526,2596.9958
527,2594.0596
528,2592.7383
529,2592.5042
530,2593.4885
531,2596.4368
532,2599.632
533,2604.2817
534,2610.2537
535,2615.8496
536,2620.4775
537,2623.3123
538,2625.4783
539,2624.2158
540,2622.663
541,2622.2324
542,2622.5884
543,2620.8694
544,2619.2744
545,2616.0657
546,2612.0518
547,2611.515
548,2611.6252
549,2612.7642
550,2615.9858
551,2620.9517
552,2627.3643
553,2632.8035
554,2637.2556
555,2641.3564
556,2644.7468
557,2648.631
558,2652.4817
559,2654.564
560,2656.8403
561,2658.3933
562,2658.4153
563,2657.625
564,2657.546
565,2657.4854
566,2658.86
567,2661.0776
568,2663.856
569,2668.0232
570,2671.906
571,2676.3748
572,2681.0251
573,2685.5596
574,2689.431
575,2692.4175
576,2694.0637
577,2694.1685
578,2694.5955
579,2694.8914
580,2694.5981
581,2693.0354
582,2689.8308
583,2686.5117
584,2681.445
585,2677.7712
586,2673.3936
587,2670.89
588,2668.692
589,2667.7644
590,2669.7275
591,2673.5166
592,2677.4622
593,2681.5896
594,2686.3408
595,2690.9934
596,2694.8254
597,2699.3516
598,2703.5645
599,2707.0835
600,2709.7275
601,2713.0269
602,2716.0166
603,2719.7256
604,2723.7637
605,2726.2915
606,2727.5786
607,2728.845
608,2728.642
609,2729.585
610,2731.3247
611,2734.1858
612,2737.3555
613,2740.5283
614,2742.4468
615,2743.5823
616,2743.7908
617,2743.5522
618,2743.2578
619,2743.2905
620,2744.3123
621,2746.0625
622,2747.9995
623,2749.8992
624,2751.791
625,2754.814
626,2758.9456
627,2763.186
628,2767.7222
629,2771.4282
630,2774.4998
631,2776.7227
632,2778.2205
633,2778.085
634,2778.0378
635,2777.279
636,2777.243
637,2777.863
638,2779.2478
639,2780.715
640,2781.444
641,2782.7876
642,2784.9092
643,2788.1287
644,2790.7063
645,2792.977
646,2794.657
647,2795.6597
648,2796.1897
649,2797.3406
650,2798.401
651,2799.8262
652,2800.5679
653,2800.1099
654,2797.8154
655,2795.2207
656,2792.0283
657,2783.3064
658,2772.8845
659,2761.7024
660,2750.9814
661,2743.6843
662,2737.6367
663,2731.3289
664,2725.5352
665,2717.3157
666,2709.906
667,2699.4287
668,2688.2344
669,2678.2227
670,2666.7673
671,2659.6482
672,2655.3296
673,2654.4885
674,2654.2363
675,2655.372
676,2659.2441
677,2665.9255
678,2672.6672
679,2678.0151
680,2679.8867
681,2680.6829
682,2678.0098
683,2675.57
684,2673.7588
685,2667.6863
686,2660.7197
687,2652.0723
688,2644.2827
689,2638.06
690,2634.6462
691,2635.504
692,2638.2646
693,2645.1892
694,2652.9048
695,2653.581
696,2653.4292
697,2648.6934
698,2644.4158
699,2639.7778
